4.0 KB               1024x4                    3.673 ms             0.009                0.009               
8.0 KB               2048x4                    2.447 ms             0.027                0.027               
16.0 KB              4096x4                    2.403 ms             0.055                0.054               
32.0 KB              8192x4                    2.425 ms             0.108                0.108               
64.0 KB              16384x4                   2.369 ms             0.221                0.221               
128.0 KB             32768x4                   2.495 ms             0.420                0.420               
256.0 KB             65536x4                   2.538 ms             0.826                0.825               
512.0 KB             131072x4                  2.710 ms             1.548                1.545               
1.0 MB               262144x4                  2.530 ms             3.315                3.309               
2.0 MB               524288x4                  2.361 ms             7.107                7.093               
4.0 MB               1048576x4                 2.600 ms             12.906               12.880              
8.0 MB               2097152x4                 2.501 ms             26.836               26.783              
16.0 MB              4194304x4                 13.584 ms            9.880                9.861               
32.0 MB              8388608x4                 29.533 ms            9.089                9.072               
64.0 MB              16777216x4                34.928 ms            15.371               15.341              
128.0 MB             33554432x4                32.373 ms            33.168               33.103              
256.0 MB             67108864x4                59.587 ms            36.039               35.969              
512.0 MB             134217728x4               70.583 ms            60.850               60.731              
1.0 GB               268435456x4               134.189 ms           64.014               63.889              
2.0 GB               536870912x4               233.549 ms           73.560               73.417              
4.0 GB               1073741824x4              441.103 ms           77.895               77.743    
