Size (Bytes)         Description               Duration             Throughput (Gbps)    BusBW (Gbps)        
512.0 B              128x4                     581.872 us           0.007                0.007               
1.0 KB               256x4                     412.427 us           0.020                0.020               
2.0 KB               512x4                     421.643 us           0.039                0.038               
4.0 KB               1024x4                    598.287 us           0.055                0.054               
8.0 KB               2048x4                    389.809 us           0.168                0.165               
16.0 KB              4096x4                    405.855 us           0.323                0.318               
32.0 KB              8192x4                    376.832 us           0.696                0.685               
64.0 KB              16384x4                   385.875 us           1.359                1.337               
128.0 KB             32768x4                   373.458 us           2.808                2.764               
256.0 KB             65536x4                   381.388 us           5.499                5.413               
512.0 KB             131072x4                  362.009 us           11.586               11.405              
1.0 MB               262144x4                  384.377 us           21.824               21.483              
2.0 MB               524288x4                  10.292 ms            1.630                1.605               
4.0 MB               1048576x4                 4.733 ms             7.090                6.979               
8.0 MB               2097152x4                 1.051 ms             63.862               62.864              
16.0 MB              4194304x4                 1.886 ms             71.168               70.056              
32.0 MB              8388608x4                 3.385 ms             79.301               78.062              
64.0 MB              16777216x4                6.278 ms             85.523               84.187              
128.0 MB             33554432x4                12.597 ms            85.237               83.905              
256.0 MB             67108864x4                24.056 ms            89.269               87.874              
512.0 MB             134217728x4               47.342 ms            90.723               89.305      
